City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
472,Camana,PE,61.32,scattered clouds,-16.6228,-72.7111,Hostal Morales
473,Gizo,SB,82.94,light rain,-8.103,156.8419,Imagination Island
475,Nakama,JP,89.46,overcast clouds,33.8167,130.7,HOTEL 青い鳥
476,Katsuura,JP,84.63,clear sky,35.1333,140.3,Katsuura Hotel Mikazuki
477,Kongolo,CD,73.38,overcast clouds,-5.3833,27.0,GUEST HOUSE OASIS
478,Nilopolis,BR,67.68,overcast clouds,-22.8075,-43.4139,Hotel Premier
479,Portel,BR,75.6,scattered clouds,-1.9356,-50.8211,Kitnet do Marcos
480,Asyut,EG,82.04,clear sky,27.181,31.1837,فندق ميس إيجيبت Miss Egypt Hotel
482,Bandarbeyla,SO,77.67,overcast clouds,9.4942,50.8122,JABIR HOTEL
484,Salalah,OM,75.29,light intensity drizzle,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
485,San Patricio,US,86.09,overcast clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
486,Vao,NC,68.68,clear sky,-22.6667,167.4833,Hotel Kou-Bugny
488,Pangai,TO,80.71,scattered clouds,-19.8,-174.35,Ha'apai Beach Resort
489,Makarov,RU,65.41,overcast clouds,48.6333,142.8,Gostinitsa ''yana''
490,Bom Jesus Da Lapa,BR,75.79,clear sky,-13.255,-43.4181,Hotel das Nações
492,Novobirilyussy,RU,64.35,broken clouds,56.9514,90.6661,Gostinitsa
